hours,dist,yday,time,temp,elev,natdiv2500,natdiv1000,natdiv500,natdiv1000new,natdiv500new,sqrt.popd2500,sqrt.popd1000,sqrt.popd500,popd1000new,popd500new,poc500,poc1000new,poc500new,income.med500diff,income.med1000diffnew,income.med500diffnew,yrbuilt2500,yrbuilt1000,yrbuilt500,yrbuilt1000new,yrbuilt500new,poc2500,poc1000,income.med1000diff,income.med2500diff,link,link.se,pred,lcl,ucl,var,value.poc,value.income
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.092794832,0,0,-1.252328199,0,0,0,0,0,0,0,0.092794832,0.092794832,-1.252328199,-1.252328199,3.35374038,0.053133132,28.60954434,25.72527871,31.81718794,minority-income,0.45,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.14501315,0,0,-1.252328199,0,0,0,0,0,0,0,0.14501315,0.14501315,-1.252328199,-1.252328199,3.355994412,0.052874948,28.6741039,25.79664683,31.87252357,minority-income,0.475,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.197231468,0,0,-1.252328199,0,0,0,0,0,0,0,0.197231468,0.197231468,-1.252328199,-1.252328199,3.35828405,0.052623821,28.73983243,25.86876891,31.92954296,minority-income,0.5,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.249449786,0,0,-1.252328199,0,0,0,0,0,0,0,0.249449786,0.249449786,-1.252328199,-1.252328199,3.360609295,0.052379326,28.80673732,25.94167226,31.98822754,minority-income,0.525,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.301668104,0,0,-1.252328199,0,0,0,0,0,0,0,0.301668104,0.301668104,-1.252328199,-1.252328199,3.362970145,0.052141547,28.87482607,26.01535785,32.04859165,minority-income,0.55,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.353886422,0,0,-1.252328199,0,0,0,0,0,0,0,0.353886422,0.353886422,-1.252328199,-1.252328199,3.365366602,0.051911097,28.94410633,26.08979933,32.11068358,minority-income,0.575,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.40610474,0,0,-1.252328199,0,0,0,0,0,0,0,0.40610474,0.40610474,-1.252328199,-1.252328199,3.367798666,0.05168912,29.0145859,26.16494204,32.17458665,minority-income,0.6,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.458323058,0,0,-1.252328199,0,0,0,0,0,0,0,0.458323058,0.458323058,-1.252328199,-1.252328199,3.370266335,0.051477308,29.08627273,26.24070206,32.24042021,minority-income,0.625,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.510541376,0,0,-1.252328199,0,0,0,0,0,0,0,0.510541376,0.510541376,-1.252328199,-1.252328199,3.372769611,0.051277905,29.1591749,26.31696533,32.30834065,minority-income,0.65,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.562759694,0,0,-1.252328199,0,0,0,0,0,0,0,0.562759694,0.562759694,-1.252328199,-1.252328199,3.375308494,0.051093717,29.23330067,26.39358687,32.37854227,minority-income,0.675,-55
