hours,dist,yday,time,temp,elev,natdiv2500,natdiv1000,natdiv500,natdiv1000new,natdiv500new,sqrt.popd2500,sqrt.popd1000,sqrt.popd500,popd1000new,popd500new,poc2500,poc1000,poc500,poc1000new,poc500new,income.med2500diff,income.med1000diff,income.med500diff,income.med1000diffnew,income.med500diffnew,yrbuilt2500,yrbuilt1000,yrbuilt500,yrbuilt1000new,yrbuilt500new,link,link.se,pred,lcl,ucl,var,value
-0.1,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.007359241,0.027067079,20.23389648,19.16767148,21.35943153,hours,0.626655116
-0.05,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.037138509,0.02704056,20.84550857,19.74810207,22.0038982,hours,0.679176084
0,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.065895473,0.027023847,21.45366457,20.32492122,22.64509262,hours,0.731697052
0.05,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.093630134,0.027015028,22.0570027,20.89688444,23.28152647,hours,0.78421802
0.1,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.120342492,0.027012379,22.65413718,21.46272554,23.91168496,hours,0.836738988
0.15,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.146032547,0.027014368,23.24366327,22.02116006,24.53403365,hours,0.889259957
0.2,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.170700299,0.027019659,23.82416255,22.57088905,25.14702544,hours,0.941780925
0.25,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.194345747,0.027027116,24.39420849,23.11060298,25.74910782,hours,0.994301893
0.3,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.216968892,0.0270358,24.95237212,23.63898588,26.33873033,hours,1.046822861
0.35,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.238569735,0.027044972,25.49722785,24.15471963,26.91435207,hours,1.099343829
0.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.259148273,0.027054093,26.02735951,24.65648841,27.47444939,hours,1.151864798
0.45,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.278704509,0.027062823,26.54136632,25.14298331,28.01752352,hours,1.204385766
